kuntanumero|nimi|URI
423|Lieto|http://www.yso.fi/onto/yso/p105512
424|Liljendal|http://www.yso.fi/onto/yso/p106067
425|Liminka|http://www.yso.fi/onto/yso/p105171
426|Liperi|http://www.yso.fi/onto/yso/p94270
427, 444|Lohja|http://www.yso.fi/onto/yso/p94271
428|Lohjan kunta|http://www.yso.fi/onto/yso/p105579
429|Lohtaja|http://www.yso.fi/onto/yso/p94272
430|Loimaa|http://www.yso.fi/onto/yso/p94273
431|Loimaan kunta|http://www.yso.fi/onto/yso/p105996
432|Lokalahti|http://www.yso.fi/onto/yso/p110175
433|Loppi|http://www.yso.fi/onto/yso/p94274
434|Loviisa|http://www.yso.fi/onto/yso/p94277
435|Luhanka|http://www.yso.fi/onto/yso/p115616
436|Lumijoki|http://www.yso.fi/onto/yso/p94278
437|Lumivaara|http://www.yso.fi/onto/yso/p106016
438|Lumparland|http://www.yso.fi/onto/yso/p123951
439|Luopioinen|http://www.yso.fi/onto/yso/p105102
440|Luoto|http://www.yso.fi/onto/yso/p94279
441|Luumäki|http://www.yso.fi/onto/yso/p94280
442|Luvia|http://www.yso.fi/onto/yso/p105341
443|Längelmäki|http://www.yso.fi/onto/yso/p105874
445, 573|Parainen|http://www.yso.fi/onto/yso/p94327
475|Maalahti|http://www.yso.fi/onto/yso/p94283
476|Maaninka|http://www.yso.fi/onto/yso/p107738
477|Maaria|http://www.yso.fi/onto/yso/p105485
478|Maarianhamina|http://www.yso.fi/onto/yso/p94284
479|Maksamaa|http://www.yso.fi/onto/yso/p94285
480|Marttila|http://www.yso.fi/onto/yso/p94288
481|Masku|http://www.yso.fi/onto/yso/p105770
482|Mellilä|http://www.yso.fi/onto/yso/p105993
483|Merijärvi|http://www.yso.fi/onto/yso/p105891
484|Merikarvia|http://www.yso.fi/onto/yso/p105463
485|Merimasku|http://www.yso.fi/onto/yso/p105316
486|Messukylä|http://www.yso.fi/onto/yso/p110174
487|Metsämaa|http://www.yso.fi/onto/yso/p105994
488|Metsäpirtti|http://www.yso.fi/onto/yso/p105619
489|Miehikkälä|http://www.yso.fi/onto/yso/p105284
490|Mietoinen|http://www.yso.fi/onto/yso/p105728
491|Mikkeli|http://www.yso.fi/onto/yso/p94289
492|Mikkelin maalaiskunta|http://www.yso.fi/onto/yso/p105119
493|Mouhijärvi|http://www.yso.fi/onto/yso/p105158
494|Muhos|http://www.yso.fi/onto/yso/p94294
495|Multia|http://www.yso.fi/onto/yso/p106246
496|Munsala|http://www.yso.fi/onto/yso/p106677
497|Muolaa|http://www.yso.fi/onto/yso/p94295
498|Muonio|http://www.yso.fi/onto/yso/p94296
499|Mustasaari|http://www.yso.fi/onto/yso/p94297
500|Muurame|http://www.yso.fi/onto/yso/p105750
501|Muurla|http://www.yso.fi/onto/yso/p107502
502|Muuruvesi|http://www.yso.fi/onto/yso/p109149
503|Mynämäki|http://www.yso.fi/onto/yso/p94298
504|Myrskylä|http://www.yso.fi/onto/yso/p110895
505|Mäntsälä|http://www.yso.fi/onto/yso/p105326
506|Mänttä|http://www.yso.fi/onto/yso/p94301
507|Mäntyharju|http://www.yso.fi/onto/yso/p105076
508|Mänttä-Vilppula|http://www.yso.fi/onto/yso/p163326
529|Naantali|http://www.yso.fi/onto/yso/p94302
530|Naantalin maalaiskunta|http://www.yso.fi/onto/yso/p110170
531|Nakkila|http://www.yso.fi/onto/yso/p108279
532|Nastola|http://www.yso.fi/onto/yso/p105928
533|Nauvo|http://www.yso.fi/onto/yso/p94303
534|Nilsiä|http://www.yso.fi/onto/yso/p94306
535|Nivala|http://www.yso.fi/onto/yso/p94307
536|Nokia|http://www.yso.fi/onto/yso/p94308
537|Noormarkku|http://www.yso.fi/onto/yso/p105688
538|Nousiainen|http://www.yso.fi/onto/yso/p94310
539|Nuijamaa|http://www.yso.fi/onto/yso/p108338
540|Nummi-Pusula|http://www.yso.fi/onto/yso/p105360
541|Nurmes|http://www.yso.fi/onto/yso/p106097
542|Nurmeksen maalaiskunta|http://www.yso.fi/onto/yso/p219165
543|Nurmijärvi|http://www.yso.fi/onto/yso/p94312
544|Nurmo|http://www.yso.fi/onto/yso/p107330
545|Närpiö|http://www.yso.fi/onto/yso/p94313
559|Oravainen|http://www.yso.fi/onto/yso/p94315
560|Orimattila|http://www.yso.fi/onto/yso/p94316
561|Oripää|http://www.yso.fi/onto/yso/p94317
562|Orivesi|http://www.yso.fi/onto/yso/p94318
563|Oulainen|http://www.yso.fi/onto/yso/p94319
564|Oulu|http://www.yso.fi/onto/yso/p94320
565|Oulujoki|http://www.yso.fi/onto/yso/p105656
566|Oulunkylä|http://www.yso.fi/onto/yso/p110184
567|Oulunsalo|http://www.yso.fi/onto/yso/p105246
574|Paattinen|http://www.yso.fi/onto/yso/p112699
575|Paavola|http://www.yso.fi/onto/yso/p108431
576|Padasjoki|http://www.yso.fi/onto/yso/p94324
577|Paimio|http://www.yso.fi/onto/yso/p94325
578|Paltamo|http://www.yso.fi/onto/yso/p105582
579|Paraisten maalaiskunta|http://www.yso.fi/onto/yso/p176246
580|Parikkala|http://www.yso.fi/onto/yso/p106663
581|Parkano|http://www.yso.fi/onto/yso/p94328
582|Pattijoki|http://www.yso.fi/onto/yso/p105466
583|Pelkosenniemi|http://www.yso.fi/onto/yso/p105303
584|Perho|http://www.yso.fi/onto/yso/p94330
585|Pernaja|http://www.yso.fi/onto/yso/p105016
586|Perniö|http://www.yso.fi/onto/yso/p94331
587|Pertteli|http://www.yso.fi/onto/yso/p105169
588|Pertunmaa|http://www.yso.fi/onto/yso/p106412
589|Peräseinäjoki|http://www.yso.fi/onto/yso/p105376
590|Petolahti|http://www.yso.fi/onto/yso/p106064
591|Petsamo|http://www.yso.fi/onto/yso/p94333
592|Petäjävesi|http://www.yso.fi/onto/yso/p107116
593|Pieksämäki|http://www.yso.fi/onto/yso/p94334
594|Pieksämäen maalaiskunta|http://www.yso.fi/onto/yso/p105909
595|Pielavesi|http://www.yso.fi/onto/yso/p94335
596|Pielisensuu|http://www.yso.fi/onto/yso/p125457
597|Pielisjärvi|http://www.yso.fi/onto/yso/p105544
598|Pietarsaari|http://www.yso.fi/onto/yso/p94337
599|Pedersöre|http://www.yso.fi/onto/yso/p105289
600|Pihlajavesi|http://www.yso.fi/onto/yso/p121636
601|Pihtipudas|http://www.yso.fi/onto/yso/p105630
602|Piikkiö|http://www.yso.fi/onto/yso/p94338
603|Piippola|http://www.yso.fi/onto/yso/p108163
604, 994|Pirkkala|http://www.yso.fi/onto/yso/p94340
605|Pirttikylä|http://www.yso.fi/onto/yso/p94341
606|Pohja|http://www.yso.fi/onto/yso/p94342
607|Polvijärvi|http://www.yso.fi/onto/yso/p105725
608|Pomarkku|http://www.yso.fi/onto/yso/p108352
609|Pori|http://www.yso.fi/onto/yso/p94351
610|Porin maalaiskunta|http://www.yso.fi/onto/yso/p110171
611|Pornainen|http://www.yso.fi/onto/yso/p105540
612, 638|Porvoo|http://www.yso.fi/onto/yso/p94352
613|Porvoon maalaiskunta|http://www.yso.fi/onto/yso/p94353
614|Posio|http://www.yso.fi/onto/yso/p105232
615|Pudasjärvi|http://www.yso.fi/onto/yso/p105130
616|Pukkila|http://www.yso.fi/onto/yso/p105805
617|Pulkkila|http://www.yso.fi/onto/yso/p109308
618|Punkaharju|http://www.yso.fi/onto/yso/p94354
619|Punkalaidun|http://www.yso.fi/onto/yso/p94355
620|Puolanka|http://www.yso.fi/onto/yso/p105495
621|Purmo|http://www.yso.fi/onto/yso/p105521
622|Pusula|http://www.yso.fi/onto/yso/p105356
623|Puumala|http://www.yso.fi/onto/yso/p109463
624|Pyhtää|http://www.yso.fi/onto/yso/p94357
625|Pyhäjoki|http://www.yso.fi/onto/yso/p94360
626|Pyhäjärvi|http://www.yso.fi/onto/yso/p106684
627|Pyhäjärvi Ul|http://www.yso.fi/onto/yso/p105191
628|Pyhäjärvi Vpl|http://www.yso.fi/onto/yso/p94361
629|Pyhämaa|http://www.yso.fi/onto/yso/p106262
630|Pyhäntä|http://www.yso.fi/onto/yso/p105126
631|Pyhäranta|http://www.yso.fi/onto/yso/p108354
632|Pyhäselkä|http://www.yso.fi/onto/yso/p105132
633|Pylkönmäki|http://www.yso.fi/onto/yso/p105585
634|Pälkjärvi|http://www.yso.fi/onto/yso/p107969
635|Pälkäne|http://www.yso.fi/onto/yso/p94365
636|Pöytyä|http://www.yso.fi/onto/yso/p94366
637|Pohjaslahti|http://www.yso.fi/onto/yso/p105588
640|Pieksänmaa|http://www.yso.fi/onto/yso/p128613
678|Raahe|http://www.yso.fi/onto/yso/p105112
679|Raippaluoto|http://www.yso.fi/onto/yso/p105764
680|Raisio|http://www.yso.fi/onto/yso/p105342
681|Rantasalmi|http://www.yso.fi/onto/yso/p94371
682|Rantsila|http://www.yso.fi/onto/yso/p107251
683|Ranua|http://www.yso.fi/onto/yso/p105777
684|Rauma|http://www.yso.fi/onto/yso/p94372
685|Rauman maalaiskunta|http://www.yso.fi/onto/yso/p105210
686|Rautalampi|http://www.yso.fi/onto/yso/p105201
687|Rautavaara|http://www.yso.fi/onto/yso/p94373
688|Rautio|http://www.yso.fi/onto/yso/p94374
689|Rautjärvi|http://www.yso.fi/onto/yso/p94375
690|Rautu|http://www.yso.fi/onto/yso/p107726
691|Reisjärvi|http://www.yso.fi/onto/yso/p105371
692|Renko|http://www.yso.fi/onto/yso/p94376
693|Revonlahti|http://www.yso.fi/onto/yso/p108433
694|Riihimäki|http://www.yso.fi/onto/yso/p94377
695|Riistavesi|http://www.yso.fi/onto/yso/p105896
696|Ristiina|http://www.yso.fi/onto/yso/p94379
697|Ristijärvi|http://www.yso.fi/onto/yso/p94380
698|Rovaniemi|http://www.yso.fi/onto/yso/p94382
699|Rovaniemen maalaiskunta|http://www.yso.fi/onto/yso/p105307
700|Ruokolahti|http://www.yso.fi/onto/yso/p105546
701|Ruotsinpyhtää|http://www.yso.fi/onto/yso/p105693
702|Ruovesi|http://www.yso.fi/onto/yso/p94385
703|Ruskeala|http://www.yso.fi/onto/yso/p107971
704|Rusko|http://www.yso.fi/onto/yso/p94386
705|Rymättylä|http://www.yso.fi/onto/yso/p94387
706|Räisälä|http://www.yso.fi/onto/yso/p105265
707|Rääkkylä|http://www.yso.fi/onto/yso/p106958
708|Ruukki|http://www.yso.fi/onto/yso/p108432
710|Raasepori|http://www.yso.fi/onto/yso/p163327
728|Saari|http://www.yso.fi/onto/yso/p107970
729|Saarijärvi|http://www.yso.fi/onto/yso/p94389
730|Sahalahti|http://www.yso.fi/onto/yso/p105103
731|Sakkola|http://www.yso.fi/onto/yso/p94393
732|Salla|http://www.yso.fi/onto/yso/p94395
733|Salmi|http://www.yso.fi/onto/yso/p105241
734|Salo|http://www.yso.fi/onto/yso/p94396
735|Saloinen|http://www.yso.fi/onto/yso/p105799
736|Saltvik|http://www.yso.fi/onto/yso/p105204
737|Sammatti|http://www.yso.fi/onto/yso/p108102
738|Sauvo|http://www.yso.fi/onto/yso/p94400
739|Savitaipale|http://www.yso.fi/onto/yso/p105545
740|Savonlinna|http://www.yso.fi/onto/yso/p94402
741|Savonranta|http://www.yso.fi/onto/yso/p105222
742|Savukoski|http://www.yso.fi/onto/yso/p108400
743|Seinäjoki|http://www.yso.fi/onto/yso/p94404
744|Seinäjoen maalaiskunta|http://www.yso.fi/onto/yso/p134236
745|Seiskari|http://www.yso.fi/onto/yso/p107645
746|Sievi|http://www.yso.fi/onto/yso/p94408
747|Siikainen|http://www.yso.fi/onto/yso/p105529
748|Siikajoki|http://www.yso.fi/onto/yso/p105478
749|Siilinjärvi|http://www.yso.fi/onto/yso/p105226
750|Siipyy|http://www.yso.fi/onto/yso/p94409
751|Simo|http://www.yso.fi/onto/yso/p94411
752|Simpele|http://www.yso.fi/onto/yso/p94412
753|Sipoo|http://www.yso.fi/onto/yso/p94413
754|Anjalankoski|http://www.yso.fi/onto/yso/p94090
755|Siuntio|http://www.yso.fi/onto/yso/p94414
756|Snappertuna|http://www.yso.fi/onto/yso/p106420
757|Soanlahti|http://www.yso.fi/onto/yso/p111191
758|Sodankylä|http://www.yso.fi/onto/yso/p94415
759|Soini|http://www.yso.fi/onto/yso/p105218
760|Somerniemi|http://www.yso.fi/onto/yso/p105583
